Year,Quarter,Workplace,VacancyCount,Headline
2021,4,Borås,1.0,['Söker du deltid med arbete på vardagar? Se hit!']
2021,4,Falun,30.0,['Lagerarbetare till Förlagssystem i Falun | Extrajobb']
2021,4,Göteborg,30.0,"['Stödassistenter och undersköterskor till nystartat BmSS på Hisingen', 'Fotograf extra till Jollyroom!', 'Merchandiser sökes till vikariepool i Göteborg', 'Studenter för extrajobb - varierande erfarenhet', 'Vill du jobba extra som budbilschaufför?', 'Flexibel student sökes som budbilschaufför!', 'Stödassistenter till daglig verksamhet', 'Fotograf extra inriktning styling']"
2021,4,Halmstad,40.0,"['Helganställning inom vård och omsorg för deltidsarbetande, föräldralediga, ']"
2021,4,Hudiksvall,1.0,['Merchandiser sökes till uppdrag i Hudiksvall med omnejd - (v.8-10)']
2021,4,Härnösand,1.0,"['Lastbilschaufför CE Härnösand, behovsanställning']"
2021,4,Jönköping,10.0,"['Journalskrivare', 'Truckförare sökes för extrajobb på fredagar!', 'Truckförare sökes för extrajobb i Jönköping', 'Arbetsinstruktör ']"
2021,4,Kungsbacka,1.0,"['Barnvakt Kungsbacka Fjärås 20 timmar per månad, helgpass - Kollektivavtal']"
2021,4,Köping,1.0,"['Barnvakt Köping Kolsva 1-2 ggr/mån, helger  - Kollektivavtal']"
2021,4,Ljusdal,2.0,"['Brevbärare Ljusdal, behovsanställning']"
2021,4,Luleå,3.0,['Vi söker dig som vill arbeta extra på lager inom livsmedelsproduktion!']
2021,4,Malmö,18.0,"['Extrajobb som Terminalarbetare och Truckförare hos Bring!', 'Stödpedagoger till nytt Barnboende LSS', 'Stödassistent vaken natt till nytt Barnboende LSS', 'Stödassistenter till nytt Barnboende LSS', 'Extrajobb som Terminalarbetare']"
2021,4,Mölndal,5.0,['Kassamedarbetare på deltid sökes omgående i Göteborgsområdet']
2021,4,Norrköping,27.0,"['Vikarierande personliga assistenter sökes till Särnmark Assistans AB', 'Lagerarbetare till Martin & Servera i Norrköping (semestervikariat)']"
2021,4,Oskarshamn,20.0,['Har du annan huvudsaklig syssla och vill jobba extra?']
