Year,Quarter,Workplace,VacancyCount,Headline,MergedColumn
2021,4,Alingsås,2,['Fotbollsintresserad eventpersonal sökes till eventturné!'],2021 4
2021,4,Arvidsjaur,2,"['Distributörer, Arvidsjaur - Arjeplog']",2021 4
2021,4,Arvika,8,"['Fotbollsintresserad eventpersonal sökes till eventturné!', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika']",2021 4
2021,4,Bjuv,105,"['Extra personal till kyllager i Bjuv!', 'Extra personal till kyllager i Bjuv', 'Extra personal till kyllager i Bjuv', 'Extra personal till kyllager i Bjuv', 'Extra personal till kyllager i Bjuv']",2021 4
2021,4,Boden,6,"['Distributörer, Boden', 'Distributörer, Boden']",2021 4
2021,4,Bollnäs,3,"['Brevbärare Bollnäs, behovsanställning', 'Två personliga assistenter till charmig flicka i Bollnäs']",2021 4
2021,4,Borgholm,2,"['Brevbärare Borgholm, behovsanställning']",2021 4
2021,4,Borlänge,5,"['Säljare på 8 h/v till Saluhallen, IKEA Borlänge', 'Extrajobb som chaufför - Borlänge', 'Chaufför (B) Borlänge, behovsanställning']",2021 4
2021,4,Borås,26,"['Vi söker nu nya medarbetare med erfarenhet utav skjutstativtruck vid behov!', 'Titta hit! Nu söker vi fler duktiga lagermedarbetare!', 'Vill du jobba extra på lager i Viared? Sök nu!', 'Helgjobb+ extra vid behov som personlig assistent', 'Ekonomiassistent på deltid till vår kund i Borås']",2021 4
2021,4,Botkyrka,12,"['Lyhörd, aktiv och initiativrik kvinnlig assistent', 'Terminalarbetare för uppdrag i Årsta 12-19 december']",2021 4
2021,4,Burlöv,1,['16-årig kille i Åkarp söker lekfull assistent'],2021 4
2021,4,Båstad,2,['Fotbollsintresserad eventpersonal sökes till eventturné!'],2021 4
2021,4,Eksjö,2,['Behovspersonal '],2021 4
2021,4,Enköping,130,"['Extrajobb som truckförare på lager i Brunna!', 'Extrajobb som truckförare på lager i Brunna!', 'Lagerarbetare på deltid sökes!', 'Extrajobb som truckförare på lager i Brunna!', 'Lediga extrajobb på läkemedelslager i Enköping']",2021 4
2021,4,Eskilstuna,91,"['Uniflex söker studerande truckförare till uppdrag i Eskilstuna!', 'Vi söker erfaren truckförare för skjutstativ', 'Uniflex söker studerande truckförare som kan arbeta dagtid!', 'Studenter sökes för extrajobb inom lager i Eskilstuna!', 'Uniflex söker studerande truckförare som kan arbeta dagtid!']",2021 4
2021,4,Eslöv,1,['Studenter sökes för extraarbete i Eslöv'],2021 4
2021,4,Falkenberg,4,"['Aktivt extrajobb som lagermedarbetare på dagtid - Falkenberg', 'Extrajobb som lagermedarbetare med containerlossning - Falkenberg', 'Fitness24Seven söker Timvikarierande Site Responsible till Varberg med o...', 'Extrajobb som produktionsmedarbetare inom industrin']",2021 4
2021,4,Falun,21,"['Serviceassistent Borlänge', 'Brevbärare Falun, behovsanställning', 'Brevbärare Falun, behovsanställning', 'Fotbollsintresserad eventpersonal sökes till eventturné!', 'Brevbärare Falun, behovsanställning']",2021 4
2021,4,Flen,12,"['Söker dig som vill jobba extra i Katrineholm', 'Söker dig som vill jobba extra i Katrineholm', 'Söker dig som vill jobba extra i Katrineholm', 'Söker dig som vill jobba extra i Katrineholm']",2021 4
2021,4,Gotland,21,"['Enkelt Extrajobb omgående!', 'Distributörer till SVHL Gotland!', 'Distributörer till SVHL Gotland!']",2021 4
2021,4,Gällivare,3,"['Distributörer, Gällivare']",2021 4
2021,4,Gävle,8,"['Brevbärare Gävle, behovsanställning', 'Extra Brevbärare, Gävle']",2021 4
2021,4,Göteborg,540,"['Butiksstjärna med webshopsintresse!', 'Säljare på deltid till Oddwork //Göteborg', 'Vill du jobba extra natt på paketterminal? Se hit!', 'Student och vill jobba extra på lager?', 'Extra Brevbärare, Västra Frölunda']",2021 4
2021,4,Hallstahammar,3,['Betongabetare (Extra)'],2021 4
2021,4,Halmstad,3,"['Välbetalt extrajobb på Martin & Serveras lager - Halmstad', 'Receptionist', 'Intresseanmälan för extraarbete, Halmstad']",2021 4
2021,4,Haninge,19,"['Extrajobb i Jordbro', 'Extrajobb - Leverans av matkassar Jordbro- Start omgående!', 'Deltidsjobb inom lager i Jordbro']",2021 4
2021,4,Haparanda,6,"['Distributörer, Haparanda', 'Fotbollsintresserad eventpersonal sökes till eventturné!', 'Distributörer, Haparanda']",2021 4
