Year,Quarter,Workplace,VacancyCount,Headline
2021,4,Alingsås,7.0,"['Fotbollsintresserad eventpersonal sökes till eventturné!', 'Extrapersonal till Ica, Coop, Hemköp med flera i Alingsås', 'Extrapersonal till Ica, Coop, Hemköp med flera i Alingsås', 'Extrapersonal till Ica, Coop, Hemköp med flera i Alingsås', 'Lagerarbetare Alingsås med omnejd - deltid vid studier']"
2021,4,Alvesta,70.0,"['Studenter sökes för kvällsjobb inom brevsortering i Alvesta!', 'Julkortssorterare som vill jobba natt i vinter sökes!', 'Boendestödjare till socialpsykiatrin', 'Studentmedarbetare sökes till Hall Miba i Alvesta', 'Arbetsmarknadskoordinator till Arbetsmarknadsenheten ']"
2021,4,Aneby,2.0,['Assistenter till 19-årig kille']
2021,4,Arvidsjaur,2.0,"['Distributörer, Arvidsjaur - Arjeplog']"
2021,4,Arvika,8.0,"['Fotbollsintresserad eventpersonal sökes till eventturné!', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika', 'Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika']"
2021,4,Avesta,6.0,"['Nu söker vi extrapersonal till Haglöfs i Avesta', 'Nu söker vi extrapersonal till Haglöfs i Avesta', 'Extrajobb inom industrin i Fors']"
2021,4,Berg,1.0,['Elevassistent']
2021,4,Bjuv,120.0,"['Extra personal till kyllager i Bjuv!', 'Extra personal till kyllager i Bjuv', 'Extra personal till kyllager i Bjuv', 'Extra personal till kyllager i Bjuv', 'Extrapersonal sökes dagtid till Hello Fresh ']"
2021,4,Boden,6.0,"['Distributörer, Boden', 'Distributörer, Boden']"
2021,4,Bollnäs,3.0,"['Brevbärare Bollnäs, behovsanställning', 'Två personliga assistenter till charmig flicka i Bollnäs']"
2021,4,Borgholm,2.0,"['Brevbärare Borgholm, behovsanställning']"
2021,4,Borlänge,47.0,"['Snöskottare till Svenskmarkservice Svealand AB', 'Extrajobb som chaufför - Borlänge', 'Chaufför (B) Borlänge, behovsanställning', 'Administratör på deltid till projekt hos Trafikverket i Borlänge!', 'Handledare till sysselsättning inom socialpsykiatrin/DV LSS']"
2021,4,Borås,162.0,"['Barnvakt Borås 1 gång varannan vecka - Kollektivavtal ', 'Vi söker nu nya medarbetare med erfarenhet utav skjutstativtruck vid behov!', 'Studenter sökes till plock & pack på Viared', 'Extrajobb som Lagerarbetare', 'Stödassistenter till bemanningsenhet']"
2021,4,Botkyrka,37.0,"['Arbetsmarknadscoach till Feriepraktiken', 'Arbetsmarknadscoach till START', 'Terminalarbetare/Tumba', 'Terminalarbetare/Tumba', 'Rivare/takterrasser/Norsborg']"
2021,4,Boxholm,1.0,['Familjebehandlare']
2021,4,Burlöv,16.0,"['Lagermedarbetare Arlöv', '16-årig kille i Åkarp söker lekfull assistent', 'Barnvakt sökes till Åkarp EXTRAJOBB', 'Studenter sökes till livsmedelsproduktion inom bageri!', 'Studenter sökes till livsmedelsproduktion inom bageri!']"
2021,4,Båstad,2.0,['Fotbollsintresserad eventpersonal sökes till eventturné!']
